name,type,source
Medication,Treatment,NIMH
Stimulant medication,Treatment,NIMH
Non-stimulant medication,Treatment,NIMH
Behavioral therapy,Treatment,NIMH
Psychotherapy,Treatment,NIMH
Parent training,Treatment,NIMH
Cognitive Behavioral Therapy,Treatment,CDC
School-based intervention,Treatment,CDC
Special education support,Treatment,CDC
Lifestyle changes,Treatment,MayoClinic
Diet modification,Treatment,MayoClinic
Regular physical activity,Treatment,MayoClinic
Sleep management,Treatment,MayoClinic
Mindfulness training,Treatment,APA
Social skills training,Treatment,APA
Teacher behavioral strategies,Treatment,CDC
Improved attention,Outcome,NIMH
Reduced hyperactivity,Outcome,NIMH
Better impulse control,Outcome,NIMH
Improved task completion,Outcome,NIMH
Better academic performance,Outcome,NIMH
Improved social functioning,Outcome,NIMH
Reduced disruptive behavior,Outcome,CDC
Better emotional regulation,Outcome,MayoClinic
Improved self-esteem,Outcome,APA
Reduced anxiety,Outcome,APA
Improved classroom behavior,Outcome,CDC
Better peer relationships,Outcome,APA
Reduced stress levels,Outcome,MayoClinic
